Guvi Geek Networks Private Limited
Maximl Labs
Pur Energy Private Limited
Agnikul Cosmos
The ePlane Company
PYTORQ Solutions Private Limited
Bigphi Technologies
Ather Energy Private Limited
Rekindle Automations Private Limited
Aerostrovilos Energy Private Limited
Impensus Electronics
Doodhbhandaar
Swapeco
Statlogic India Private Limited
YNOS Venture Engine
